|-----|------------------------------|
| dB  |   tUI    |   EH   |    EW    |
|  3  | 125.00ps | 0.541V | 114.76ps |
|  3  | 125.00ps | 0.540V | 114.75ps |
|  3  | 125.00ps | 0.540V | 114.73ps |
|  3  | 125.00ps | 0.539V | 114.72ps |
|  3  | 125.00ps | 0.539V | 114.70ps |
|  3  | 125.00ps | 0.538V | 114.69ps |
|  3  | 125.00ps | 0.538V | 114.67ps |
|  3  | 125.00ps | 0.537V | 114.66ps |
|  3  | 125.00ps | 0.537V | 114.64ps |
|  3  | 125.00ps | 0.536V | 114.63ps |
|  3  | 125.00ps | 0.536V | 114.61ps |
|  3  | 125.00ps | 0.535V | 114.60ps |
|  3  | 125.00ps | 0.535V | 114.58ps |
|  3  | 125.00ps | 0.534V | 114.57ps |
|  3  | 125.00ps | 0.534V | 114.55ps |
|  3  | 125.00ps | 0.533V | 114.54ps |
|  3  | 125.00ps | 0.533V | 114.52ps |
|  3  | 125.00ps | 0.532V | 114.51ps |
|  3  | 125.00ps | 0.532V | 114.50ps |
|  3  | 125.00ps | 0.531V | 114.48ps |
|  3  | 125.00ps | 0.531V | 114.47ps |
|  3  | 125.00ps | 0.530V | 114.45ps |
|  3  | 125.00ps | 0.530V | 114.44ps |
|  3  | 125.00ps | 0.529V | 114.42ps |
|  3  | 125.00ps | 0.529V | 114.41ps |
|  3  | 125.00ps | 0.529V | 114.39ps |
|  3  | 125.00ps | 0.528V | 114.38ps |
|  3  | 125.00ps | 0.528V | 114.36ps |
|  3  | 125.00ps | 0.527V | 114.35ps |
|  3  | 125.00ps | 0.527V | 114.33ps |
|  3  | 125.00ps | 0.526V | 114.32ps |
|  3  | 125.00ps | 0.526V | 114.30ps |
|  3  | 125.00ps | 0.525V | 114.29ps |
|  3  | 125.00ps | 0.525V | 114.27ps |
|  3  | 125.00ps | 0.524V | 114.26ps |
|  3  | 125.00ps | 0.524V | 114.24ps |
|  3  | 125.00ps | 0.523V | 114.23ps |
|  3  | 125.00ps | 0.523V | 114.21ps |
|  3  | 125.00ps | 0.522V | 114.20ps |
|  4  | 125.00ps | 0.522V | 114.18ps |
|  4  | 125.00ps | 0.521V | 114.17ps |
|  4  | 125.00ps | 0.520V | 114.16ps |
|  4  | 125.00ps | 0.520V | 114.14ps |
|  4  | 125.00ps | 0.519V | 114.13ps |
|  4  | 125.00ps | 0.519V | 114.11ps |
|  4  | 125.00ps | 0.518V | 114.10ps |
|  4  | 125.00ps | 0.518V | 114.08ps |
|  4  | 125.00ps | 0.517V | 114.07ps |
|  4  | 125.00ps | 0.517V | 114.05ps |
|  4  | 125.00ps | 0.516V | 114.04ps |
|  4  | 125.00ps | 0.516V | 114.02ps |
|  4  | 125.00ps | 0.515V | 114.01ps |
|  4  | 125.00ps | 0.515V | 113.99ps |
|  4  | 125.00ps | 0.514V | 113.98ps |
|  4  | 125.00ps | 0.514V | 113.96ps |
|  4  | 125.00ps | 0.513V | 113.95ps |
|  4  | 125.00ps | 0.513V | 113.93ps |
|  4  | 125.00ps | 0.512V | 113.92ps |
|  4  | 125.00ps | 0.512V | 113.90ps |
|  4  | 125.00ps | 0.511V | 113.89ps |
|  4  | 125.00ps | 0.511V | 113.88ps |
